areaType,areaName,areaCode,date,covidOccupiedMVBeds
overview,United Kingdom,K02000001,2022-05-22,175
overview,United Kingdom,K02000001,2022-05-21,184
overview,United Kingdom,K02000001,2022-05-20,194
overview,United Kingdom,K02000001,2022-05-19,191
overview,United Kingdom,K02000001,2022-05-18,188
overview,United Kingdom,K02000001,2022-05-17,201
overview,United Kingdom,K02000001,2022-05-16,189
overview,United Kingdom,K02000001,2022-05-15,199
overview,United Kingdom,K02000001,2022-05-14,197
overview,United Kingdom,K02000001,2022-05-13,189
overview,United Kingdom,K02000001,2022-05-12,191
overview,United Kingdom,K02000001,2022-05-11,202
overview,United Kingdom,K02000001,2022-05-10,203
overview,United Kingdom,K02000001,2022-05-09,213
overview,United Kingdom,K02000001,2022-05-08,227
overview,United Kingdom,K02000001,2022-05-07,226
overview,United Kingdom,K02000001,2022-05-06,237
overview,United Kingdom,K02000001,2022-05-05,253
overview,United Kingdom,K02000001,2022-05-04,277
overview,United Kingdom,K02000001,2022-05-03,278
overview,United Kingdom,K02000001,2022-05-02,286
overview,United Kingdom,K02000001,2022-05-01,293
overview,United Kingdom,K02000001,2022-04-30,304
overview,United Kingdom,K02000001,2022-04-29,305
overview,United Kingdom,K02000001,2022-04-28,302
overview,United Kingdom,K02000001,2022-04-27,310
overview,United Kingdom,K02000001,2022-04-26,326
overview,United Kingdom,K02000001,2022-04-25,320
overview,United Kingdom,K02000001,2022-04-24,324
overview,United Kingdom,K02000001,2022-04-23,325
overview,United Kingdom,K02000001,2022-04-22,325
overview,United Kingdom,K02000001,2022-04-21,338
overview,United Kingdom,K02000001,2022-04-20,349
overview,United Kingdom,K02000001,2022-04-19,336
overview,United Kingdom,K02000001,2022-04-18,326
overview,United Kingdom,K02000001,2022-04-17,328
overview,United Kingdom,K02000001,2022-04-16,332
overview,United Kingdom,K02000001,2022-04-15,320
overview,United Kingdom,K02000001,2022-04-14,349
overview,United Kingdom,K02000001,2022-04-13,355
overview,United Kingdom,K02000001,2022-04-12,385
overview,United Kingdom,K02000001,2022-04-11,379
overview,United Kingdom,K02000001,2022-04-10,372
overview,United Kingdom,K02000001,2022-04-09,367
overview,United Kingdom,K02000001,2022-04-08,355
overview,United Kingdom,K02000001,2022-04-07,357
overview,United Kingdom,K02000001,2022-04-06,361
overview,United Kingdom,K02000001,2022-04-05,364
overview,United Kingdom,K02000001,2022-04-04,351
overview,United Kingdom,K02000001,2022-04-03,342
overview,United Kingdom,K02000001,2022-04-02,350
overview,United Kingdom,K02000001,2022-04-01,352
overview,United Kingdom,K02000001,2022-03-31,356
overview,United Kingdom,K02000001,2022-03-30,359
overview,United Kingdom,K02000001,2022-03-29,365
overview,United Kingdom,K02000001,2022-03-28,363
overview,United Kingdom,K02000001,2022-03-27,344
overview,United Kingdom,K02000001,2022-03-26,345
overview,United Kingdom,K02000001,2022-03-25,333
overview,United Kingdom,K02000001,2022-03-24,330
overview,United Kingdom,K02000001,2022-03-23,302
overview,United Kingdom,K02000001,2022-03-22,316
overview,United Kingdom,K02000001,2022-03-21,299
overview,United Kingdom,K02000001,2022-03-20,280
overview,United Kingdom,K02000001,2022-03-19,277
overview,United Kingdom,K02000001,2022-03-18,287
overview,United Kingdom,K02000001,2022-03-17,292
overview,United Kingdom,K02000001,2022-03-16,281
overview,United Kingdom,K02000001,2022-03-15,281
overview,United Kingdom,K02000001,2022-03-14,280
overview,United Kingdom,K02000001,2022-03-13,257
overview,United Kingdom,K02000001,2022-03-12,252
overview,United Kingdom,K02000001,2022-03-11,254
overview,United Kingdom,K02000001,2022-03-10,253
overview,United Kingdom,K02000001,2022-03-09,266
overview,United Kingdom,K02000001,2022-03-08,275
overview,United Kingdom,K02000001,2022-03-07,269
overview,United Kingdom,K02000001,2022-03-06,263
overview,United Kingdom,K02000001,2022-03-05,256
overview,United Kingdom,K02000001,2022-03-04,257
overview,United Kingdom,K02000001,2022-03-03,264
overview,United Kingdom,K02000001,2022-03-02,279
overview,United Kingdom,K02000001,2022-03-01,278
overview,United Kingdom,K02000001,2022-02-28,290
overview,United Kingdom,K02000001,2022-02-27,271
overview,United Kingdom,K02000001,2022-02-26,255
overview,United Kingdom,K02000001,2022-02-25,271
overview,United Kingdom,K02000001,2022-02-24,289
overview,United Kingdom,K02000001,2022-02-23,304
overview,United Kingdom,K02000001,2022-02-22,312
overview,United Kingdom,K02000001,2022-02-21,324
overview,United Kingdom,K02000001,2022-02-20,334
overview,United Kingdom,K02000001,2022-02-19,328
overview,United Kingdom,K02000001,2022-02-18,335
overview,United Kingdom,K02000001,2022-02-17,330
overview,United Kingdom,K02000001,2022-02-16,359
overview,United Kingdom,K02000001,2022-02-15,354
overview,United Kingdom,K02000001,2022-02-14,393
overview,United Kingdom,K02000001,2022-02-13,384
overview,United Kingdom,K02000001,2022-02-12,400
overview,United Kingdom,K02000001,2022-02-11,416
overview,United Kingdom,K02000001,2022-02-10,430
overview,United Kingdom,K02000001,2022-02-09,432
overview,United Kingdom,K02000001,2022-02-08,430
overview,United Kingdom,K02000001,2022-02-07,443
overview,United Kingdom,K02000001,2022-02-06,441
overview,United Kingdom,K02000001,2022-02-05,458
overview,United Kingdom,K02000001,2022-02-04,474
overview,United Kingdom,K02000001,2022-02-03,478
overview,United Kingdom,K02000001,2022-02-02,483
overview,United Kingdom,K02000001,2022-02-01,502
overview,United Kingdom,K02000001,2022-01-31,511
overview,United Kingdom,K02000001,2022-01-30,520
overview,United Kingdom,K02000001,2022-01-29,527
overview,United Kingdom,K02000001,2022-01-28,535
overview,United Kingdom,K02000001,2022-01-27,549
overview,United Kingdom,K02000001,2022-01-26,561
overview,United Kingdom,K02000001,2022-01-25,575
overview,United Kingdom,K02000001,2022-01-24,598
overview,United Kingdom,K02000001,2022-01-23,603
overview,United Kingdom,K02000001,2022-01-22,625
overview,United Kingdom,K02000001,2022-01-21,640
overview,United Kingdom,K02000001,2022-01-20,664
overview,United Kingdom,K02000001,2022-01-19,675
overview,United Kingdom,K02000001,2022-01-18,703
overview,United Kingdom,K02000001,2022-01-17,713
overview,United Kingdom,K02000001,2022-01-16,715
overview,United Kingdom,K02000001,2022-01-15,712
overview,United Kingdom,K02000001,2022-01-14,746
overview,United Kingdom,K02000001,2022-01-13,777
overview,United Kingdom,K02000001,2022-01-12,785
overview,United Kingdom,K02000001,2022-01-11,793
overview,United Kingdom,K02000001,2022-01-10,821
overview,United Kingdom,K02000001,2022-01-09,816
overview,United Kingdom,K02000001,2022-01-08,820
overview,United Kingdom,K02000001,2022-01-07,840
overview,United Kingdom,K02000001,2022-01-06,868
overview,United Kingdom,K02000001,2022-01-05,875
overview,United Kingdom,K02000001,2022-01-04,900
overview,United Kingdom,K02000001,2022-01-03,878
overview,United Kingdom,K02000001,2022-01-02,864
overview,United Kingdom,K02000001,2022-01-01,857
overview,United Kingdom,K02000001,2021-12-31,883
overview,United Kingdom,K02000001,2021-12-30,875
overview,United Kingdom,K02000001,2021-12-29,868
overview,United Kingdom,K02000001,2021-12-28,851
overview,United Kingdom,K02000001,2021-12-27,870
overview,United Kingdom,K02000001,2021-12-26,851
overview,United Kingdom,K02000001,2021-12-25,838
overview,United Kingdom,K02000001,2021-12-24,835
overview,United Kingdom,K02000001,2021-12-23,840
overview,United Kingdom,K02000001,2021-12-22,842
overview,United Kingdom,K02000001,2021-12-21,849
overview,United Kingdom,K02000001,2021-12-20,859
overview,United Kingdom,K02000001,2021-12-19,858
overview,United Kingdom,K02000001,2021-12-18,855
overview,United Kingdom,K02000001,2021-12-17,879
overview,United Kingdom,K02000001,2021-12-16,875
overview,United Kingdom,K02000001,2021-12-15,888
overview,United Kingdom,K02000001,2021-12-14,896
overview,United Kingdom,K02000001,2021-12-13,900
overview,United Kingdom,K02000001,2021-12-12,893
overview,United Kingdom,K02000001,2021-12-11,883
overview,United Kingdom,K02000001,2021-12-10,901
overview,United Kingdom,K02000001,2021-12-09,900
overview,United Kingdom,K02000001,2021-12-08,890
overview,United Kingdom,K02000001,2021-12-07,880
overview,United Kingdom,K02000001,2021-12-06,901
overview,United Kingdom,K02000001,2021-12-05,882
overview,United Kingdom,K02000001,2021-12-04,895
overview,United Kingdom,K02000001,2021-12-03,900
overview,United Kingdom,K02000001,2021-12-02,895
overview,United Kingdom,K02000001,2021-12-01,895
overview,United Kingdom,K02000001,2021-11-30,931
overview,United Kingdom,K02000001,2021-11-29,916
overview,United Kingdom,K02000001,2021-11-28,919
overview,United Kingdom,K02000001,2021-11-27,911
overview,United Kingdom,K02000001,2021-11-26,925
overview,United Kingdom,K02000001,2021-11-25,925
overview,United Kingdom,K02000001,2021-11-24,928
overview,United Kingdom,K02000001,2021-11-23,919
overview,United Kingdom,K02000001,2021-11-22,928
overview,United Kingdom,K02000001,2021-11-21,913
overview,United Kingdom,K02000001,2021-11-20,908
overview,United Kingdom,K02000001,2021-11-19,911
overview,United Kingdom,K02000001,2021-11-18,923
overview,United Kingdom,K02000001,2021-11-17,935
overview,United Kingdom,K02000001,2021-11-16,938
overview,United Kingdom,K02000001,2021-11-15,968
overview,United Kingdom,K02000001,2021-11-14,979
overview,United Kingdom,K02000001,2021-11-13,974
overview,United Kingdom,K02000001,2021-11-12,989
overview,United Kingdom,K02000001,2021-11-11,999
overview,United Kingdom,K02000001,2021-11-10,1008
overview,United Kingdom,K02000001,2021-11-09,1023
overview,United Kingdom,K02000001,2021-11-08,1026
overview,United Kingdom,K02000001,2021-11-07,1012
overview,United Kingdom,K02000001,2021-11-06,1018
overview,United Kingdom,K02000001,2021-11-05,1026
overview,United Kingdom,K02000001,2021-11-04,1034
overview,United Kingdom,K02000001,2021-11-03,1019
overview,United Kingdom,K02000001,2021-11-02,1024
overview,United Kingdom,K02000001,2021-11-01,1030
overview,United Kingdom,K02000001,2021-10-31,980
overview,United Kingdom,K02000001,2021-10-30,968
overview,United Kingdom,K02000001,2021-10-29,962
overview,United Kingdom,K02000001,2021-10-28,944
overview,United Kingdom,K02000001,2021-10-27,945
overview,United Kingdom,K02000001,2021-10-26,952
overview,United Kingdom,K02000001,2021-10-25,913
overview,United Kingdom,K02000001,2021-10-24,885
overview,United Kingdom,K02000001,2021-10-23,869
overview,United Kingdom,K02000001,2021-10-22,889
overview,United Kingdom,K02000001,2021-10-21,892
overview,United Kingdom,K02000001,2021-10-20,872
overview,United Kingdom,K02000001,2021-10-19,851
overview,United Kingdom,K02000001,2021-10-18,826
overview,United Kingdom,K02000001,2021-10-17,819
overview,United Kingdom,K02000001,2021-10-16,805
overview,United Kingdom,K02000001,2021-10-15,791
overview,United Kingdom,K02000001,2021-10-14,783
overview,United Kingdom,K02000001,2021-10-13,781
overview,United Kingdom,K02000001,2021-10-12,780
overview,United Kingdom,K02000001,2021-10-11,747
overview,United Kingdom,K02000001,2021-10-10,744
overview,United Kingdom,K02000001,2021-10-09,768
overview,United Kingdom,K02000001,2021-10-08,780
overview,United Kingdom,K02000001,2021-10-07,808
overview,United Kingdom,K02000001,2021-10-06,807
overview,United Kingdom,K02000001,2021-10-05,800
overview,United Kingdom,K02000001,2021-10-04,769
overview,United Kingdom,K02000001,2021-10-03,778
overview,United Kingdom,K02000001,2021-10-02,764
overview,United Kingdom,K02000001,2021-10-01,805
overview,United Kingdom,K02000001,2021-09-30,815
overview,United Kingdom,K02000001,2021-09-29,813
overview,United Kingdom,K02000001,2021-09-28,826
overview,United Kingdom,K02000001,2021-09-27,831
overview,United Kingdom,K02000001,2021-09-26,839
overview,United Kingdom,K02000001,2021-09-25,874
overview,United Kingdom,K02000001,2021-09-24,878
overview,United Kingdom,K02000001,2021-09-23,916
overview,United Kingdom,K02000001,2021-09-22,939
overview,United Kingdom,K02000001,2021-09-21,943
overview,United Kingdom,K02000001,2021-09-20,982
overview,United Kingdom,K02000001,2021-09-19,1006
overview,United Kingdom,K02000001,2021-09-18,1004
overview,United Kingdom,K02000001,2021-09-17,1011
overview,United Kingdom,K02000001,2021-09-16,1020
overview,United Kingdom,K02000001,2021-09-15,1081
overview,United Kingdom,K02000001,2021-09-14,1060
overview,United Kingdom,K02000001,2021-09-13,1056
overview,United Kingdom,K02000001,2021-09-12,1055
overview,United Kingdom,K02000001,2021-09-11,1027
overview,United Kingdom,K02000001,2021-09-10,1056
overview,United Kingdom,K02000001,2021-09-09,1051
overview,United Kingdom,K02000001,2021-09-08,1060
overview,United Kingdom,K02000001,2021-09-07,1047
overview,United Kingdom,K02000001,2021-09-06,1062
overview,United Kingdom,K02000001,2021-09-05,1018
overview,United Kingdom,K02000001,2021-09-04,1019
overview,United Kingdom,K02000001,2021-09-03,1034
overview,United Kingdom,K02000001,2021-09-02,1038
overview,United Kingdom,K02000001,2021-09-01,1030
overview,United Kingdom,K02000001,2021-08-31,1014
overview,United Kingdom,K02000001,2021-08-30,984
overview,United Kingdom,K02000001,2021-08-29,971
overview,United Kingdom,K02000001,2021-08-28,953
overview,United Kingdom,K02000001,2021-08-27,988
overview,United Kingdom,K02000001,2021-08-26,982
overview,United Kingdom,K02000001,2021-08-25,974
overview,United Kingdom,K02000001,2021-08-24,957
overview,United Kingdom,K02000001,2021-08-23,942
overview,United Kingdom,K02000001,2021-08-22,963
overview,United Kingdom,K02000001,2021-08-21,955
overview,United Kingdom,K02000001,2021-08-20,955
overview,United Kingdom,K02000001,2021-08-19,928
overview,United Kingdom,K02000001,2021-08-18,909
overview,United Kingdom,K02000001,2021-08-17,925
overview,United Kingdom,K02000001,2021-08-16,918
overview,United Kingdom,K02000001,2021-08-15,898
overview,United Kingdom,K02000001,2021-08-14,892
overview,United Kingdom,K02000001,2021-08-13,892
overview,United Kingdom,K02000001,2021-08-12,882
overview,United Kingdom,K02000001,2021-08-11,871
overview,United Kingdom,K02000001,2021-08-10,874
overview,United Kingdom,K02000001,2021-08-09,859
overview,United Kingdom,K02000001,2021-08-08,856
overview,United Kingdom,K02000001,2021-08-07,854
overview,United Kingdom,K02000001,2021-08-06,870
overview,United Kingdom,K02000001,2021-08-05,871
overview,United Kingdom,K02000001,2021-08-04,881
overview,United Kingdom,K02000001,2021-08-03,887
overview,United Kingdom,K02000001,2021-08-02,895
overview,United Kingdom,K02000001,2021-08-01,877
overview,United Kingdom,K02000001,2021-07-31,893
overview,United Kingdom,K02000001,2021-07-30,889
overview,United Kingdom,K02000001,2021-07-29,869
overview,United Kingdom,K02000001,2021-07-28,853
overview,United Kingdom,K02000001,2021-07-27,848
overview,United Kingdom,K02000001,2021-07-26,820
overview,United Kingdom,K02000001,2021-07-25,779
overview,United Kingdom,K02000001,2021-07-24,755
overview,United Kingdom,K02000001,2021-07-23,715
overview,United Kingdom,K02000001,2021-07-22,699
overview,United Kingdom,K02000001,2021-07-21,647
overview,United Kingdom,K02000001,2021-07-20,618
overview,United Kingdom,K02000001,2021-07-19,611
overview,United Kingdom,K02000001,2021-07-18,582
overview,United Kingdom,K02000001,2021-07-17,583
overview,United Kingdom,K02000001,2021-07-16,573
overview,United Kingdom,K02000001,2021-07-15,551
overview,United Kingdom,K02000001,2021-07-14,545
overview,United Kingdom,K02000001,2021-07-13,522
overview,United Kingdom,K02000001,2021-07-12,482
overview,United Kingdom,K02000001,2021-07-11,454
overview,United Kingdom,K02000001,2021-07-10,448
overview,United Kingdom,K02000001,2021-07-09,437
overview,United Kingdom,K02000001,2021-07-08,417
overview,United Kingdom,K02000001,2021-07-07,417
overview,United Kingdom,K02000001,2021-07-06,392
overview,United Kingdom,K02000001,2021-07-05,369
overview,United Kingdom,K02000001,2021-07-04,336
overview,United Kingdom,K02000001,2021-07-03,327
overview,United Kingdom,K02000001,2021-07-02,321
overview,United Kingdom,K02000001,2021-07-01,300
overview,United Kingdom,K02000001,2021-06-30,287
overview,United Kingdom,K02000001,2021-06-29,283
overview,United Kingdom,K02000001,2021-06-28,297
overview,United Kingdom,K02000001,2021-06-27,263
overview,United Kingdom,K02000001,2021-06-26,256
overview,United Kingdom,K02000001,2021-06-25,257
overview,United Kingdom,K02000001,2021-06-24,259
overview,United Kingdom,K02000001,2021-06-23,246
overview,United Kingdom,K02000001,2021-06-22,250
overview,United Kingdom,K02000001,2021-06-21,228
overview,United Kingdom,K02000001,2021-06-20,210
overview,United Kingdom,K02000001,2021-06-19,215
overview,United Kingdom,K02000001,2021-06-18,223
overview,United Kingdom,K02000001,2021-06-17,210
overview,United Kingdom,K02000001,2021-06-16,208
overview,United Kingdom,K02000001,2021-06-15,206
overview,United Kingdom,K02000001,2021-06-14,188
overview,United Kingdom,K02000001,2021-06-13,188
overview,United Kingdom,K02000001,2021-06-12,169
overview,United Kingdom,K02000001,2021-06-11,161
overview,United Kingdom,K02000001,2021-06-10,158
overview,United Kingdom,K02000001,2021-06-09,159
overview,United Kingdom,K02000001,2021-06-08,154
overview,United Kingdom,K02000001,2021-06-07,148
overview,United Kingdom,K02000001,2021-06-06,145
overview,United Kingdom,K02000001,2021-06-05,135
overview,United Kingdom,K02000001,2021-06-04,130
overview,United Kingdom,K02000001,2021-06-03,134
overview,United Kingdom,K02000001,2021-06-02,129
overview,United Kingdom,K02000001,2021-06-01,136
overview,United Kingdom,K02000001,2021-05-31,122
overview,United Kingdom,K02000001,2021-05-30,124
overview,United Kingdom,K02000001,2021-05-29,119
overview,United Kingdom,K02000001,2021-05-28,124
overview,United Kingdom,K02000001,2021-05-27,120
overview,United Kingdom,K02000001,2021-05-26,125
overview,United Kingdom,K02000001,2021-05-25,128
overview,United Kingdom,K02000001,2021-05-24,121
overview,United Kingdom,K02000001,2021-05-23,120
overview,United Kingdom,K02000001,2021-05-22,123
overview,United Kingdom,K02000001,2021-05-21,124
overview,United Kingdom,K02000001,2021-05-20,123
overview,United Kingdom,K02000001,2021-05-19,122
overview,United Kingdom,K02000001,2021-05-18,124
overview,United Kingdom,K02000001,2021-05-17,125
overview,United Kingdom,K02000001,2021-05-16,123
overview,United Kingdom,K02000001,2021-05-15,121
overview,United Kingdom,K02000001,2021-05-14,124
overview,United Kingdom,K02000001,2021-05-13,129
overview,United Kingdom,K02000001,2021-05-12,136
overview,United Kingdom,K02000001,2021-05-11,138
overview,United Kingdom,K02000001,2021-05-10,149
overview,United Kingdom,K02000001,2021-05-09,144
overview,United Kingdom,K02000001,2021-05-08,151
overview,United Kingdom,K02000001,2021-05-07,159
overview,United Kingdom,K02000001,2021-05-06,163
overview,United Kingdom,K02000001,2021-05-05,182
overview,United Kingdom,K02000001,2021-05-04,181
overview,United Kingdom,K02000001,2021-05-03,187
overview,United Kingdom,K02000001,2021-05-02,196
overview,United Kingdom,K02000001,2021-05-01,188
overview,United Kingdom,K02000001,2021-04-30,185
overview,United Kingdom,K02000001,2021-04-29,196
overview,United Kingdom,K02000001,2021-04-28,208
overview,United Kingdom,K02000001,2021-04-27,214
